CV_ID,Category,Severity,Signals Found
50219114,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: wayne
73282756,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: frank
80679862,DIGITAL-MEDIA,MILD — REVIEW,FEMALE_NAME: ashley
94492380,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: scott
12472574,ENGINEERING,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
14049846,ENGINEERING,CRITICAL — EXCLUDE,MALE_TITLE: mr.; MALE_NAME: christian
14554542,ENGINEERING,CRITICAL — EXCLUDE,"MALE_PRONOUN: his, he; MALE_TITLE: mr; FEMALE_NAME: rita; GENDERED_JOB: foreman"
16803215,ENGINEERING,CRITICAL — EXCLUDE,"FEMALE_PRONOUN: she; MALE_PRONOUN: him; FEMALE_NAME: marie, kelly; MALE_NAME: nathan, ryan"
24647794,ENGINEERING,CRITICAL — EXCLUDE,FEMALE_TITLE: ms; MALE_NAME: christian
32985311,ENGINEERING,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
39835894,ENGINEERING,CRITICAL — EXCLUDE,MALE_PRONOUN: him
47276718,ENGINEERING,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
50328713,ENGINEERING,CRITICAL — EXCLUDE,FEMALE_TITLE: ms; MALE_NAME: jack
55595908,ENGINEERING,CRITICAL — EXCLUDE,"MALE_PRONOUN: his; FEMALE_TITLE: ms., ms"
90280583,ENGINEERING,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
10712803,ENGINEERING,MILD — REVIEW,GENDERED_JOB: manpower
12488356,ENGINEERING,MILD — REVIEW,FEMALE_NAME: mary
12748557,ENGINEERING,MILD — REVIEW,FEMALE_NAME: barbara
13149176,ENGINEERING,MILD — REVIEW,MALE_NAME: jose
13264796,ENGINEERING,MILD — REVIEW,MALE_NAME: john; GENDERED_JOB: chairman
15139979,ENGINEERING,MILD — REVIEW,"MALE_NAME: john, paul"
15941675,ENGINEERING,MILD — REVIEW,MALE_NAME: jose
17043822,ENGINEERING,MILD — REVIEW,MALE_NAME: louis
17488801,ENGINEERING,MILD — REVIEW,FEMALE_NAME: rose; MALE_NAME: arthur; GENDERED_JOB: chairman
21038022,ENGINEERING,MILD — REVIEW,GENDERED_JOB: manpower
24322804,ENGINEERING,MILD — REVIEW,MALE_NAME: aaron
25425322,ENGINEERING,MILD — REVIEW,MALE_NAME: todd
25797445,ENGINEERING,MILD — REVIEW,MALE_NAME: russell
25919149,ENGINEERING,MILD — REVIEW,GENDERED_JOB: manpower
26834746,ENGINEERING,MILD — REVIEW,GENDERED_JOB: fireman
28320387,ENGINEERING,MILD — REVIEW,GENDERED_JOB: chairman; GENDERED_ORG: fraternity
28505854,ENGINEERING,MILD — REVIEW,MALE_NAME: david
28628090,ENGINEERING,MILD — REVIEW,FEMALE_NAME: crystal
28631840,ENGINEERING,MILD — REVIEW,MALE_NAME: jack
30542184,ENGINEERING,MILD — REVIEW,MALE_NAME: vincent
31684925,ENGINEERING,MILD — REVIEW,MALE_NAME: george
35172961,ENGINEERING,MILD — REVIEW,MALE_NAME: william
35651876,ENGINEERING,MILD — REVIEW,GENDERED_JOB: manpower
36149549,ENGINEERING,MILD — REVIEW,FEMALE_NAME: sara
38220146,ENGINEERING,MILD — REVIEW,MALE_NAME: christian
44624796,ENGINEERING,MILD — REVIEW,FEMALE_NAME: madison
51588273,ENGINEERING,MILD — REVIEW,FEMALE_NAME: crystal
54227873,ENGINEERING,MILD — REVIEW,"GENDERED_ORG: boy scout, boy scouts"
56691064,ENGINEERING,MILD — REVIEW,FEMALE_NAME: crystal
61579998,ENGINEERING,MILD — REVIEW,GENDERED_JOB: manpower
81125166,ENGINEERING,MILD — REVIEW,"MALE_NAME: jim, gary"
82125182,ENGINEERING,MILD — REVIEW,GENDERED_ORG: fraternity
15792052,FINANCE,CRITICAL — EXCLUDE,MALE_PRONOUN: his
16426777,FINANCE,CRITICAL — EXCLUDE,MALE_PRONOUN: his; MALE_NAME: robert
18072085,FINANCE,CRITICAL — EXCLUDE,MALE_PRONOUN: he; FEMALE_NAME: amber; MALE_NAME: walter
18640927,FINANCE,CRITICAL — EXCLUDE,MALE_PRONOUN: his; MALE_NAME: albert
25678238,FINANCE,CRITICAL — EXCLUDE,MALE_PRONOUN: his
26231609,FINANCE,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
27330027,FINANCE,CRITICAL — EXCLUDE,FEMALE_TITLE: ms; FEMALE_NAME: crystal
29494962,FINANCE,CRITICAL — EXCLUDE,MALE_PRONOUN: his
29998869,FINANCE,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
76454959,FINANCE,CRITICAL — EXCLUDE,MALE_PRONOUN: his
81677620,FINANCE,CRITICAL — EXCLUDE,"MALE_PRONOUN: his, he"
11490673,FINANCE,MILD — REVIEW,MALE_NAME: george
14413148,FINANCE,MILD — REVIEW,GENDERED_JOB: chairman
17392859,FINANCE,MILD — REVIEW,MALE_NAME: mark
18024825,FINANCE,MILD — REVIEW,MALE_NAME: matthew
20880935,FINANCE,MILD — REVIEW,MALE_NAME: stephen
21912637,FINANCE,MILD — REVIEW,MALE_NAME: joseph
22622351,FINANCE,MILD — REVIEW,FEMALE_NAME: mary; MALE_NAME: steven; GENDERED_JOB: chairman
23955183,FINANCE,MILD — REVIEW,GENDERED_ORG: sorority
24530382,FINANCE,MILD — REVIEW,MALE_NAME: jose
24833063,FINANCE,MILD — REVIEW,MALE_NAME: jordan
27018361,FINANCE,MILD — REVIEW,"FEMALE_NAME: catherine; MALE_NAME: thomas, john"
28396458,FINANCE,MILD — REVIEW,GENDERED_JOB: salesman
29648950,FINANCE,MILD — REVIEW,MALE_NAME: george
38225199,FINANCE,MILD — REVIEW,FEMALE_NAME: emily; MALE_NAME: george
47410104,FINANCE,MILD — REVIEW,MALE_NAME: robert
58165257,FINANCE,MILD — REVIEW,GENDERED_ORG: fraternity
62850928,FINANCE,MILD — REVIEW,FEMALE_NAME: emma
66741193,FINANCE,MILD — REVIEW,FEMALE_NAME: madison; MALE_NAME: james
86549455,FINANCE,MILD — REVIEW,MALE_NAME: louis
92524964,FINANCE,MILD — REVIEW,MALE_NAME: john
10062724,HEALTHCARE,CRITICAL — EXCLUDE,FEMALE_PRONOUN: her; MALE_PRONOUN: him
12938200,HEALTHCARE,CRITICAL — EXCLUDE,MALE_TITLE: mr
15499825,HEALTHCARE,CRITICAL — EXCLUDE,MALE_PRONOUN: him; FEMALE_TITLE: ms
17960690,HEALTHCARE,CRITICAL — EXCLUDE,FEMALE_TITLE: ms; MALE_NAME: william
23110214,HEALTHCARE,CRITICAL — EXCLUDE,MALE_PRONOUN: him
23617240,HEALTHCARE,CRITICAL — EXCLUDE,"FEMALE_PRONOUN: her, she; FEMALE_NAME: cynthia; MALE_NAME: john; FIRST_NAME_MENTION: glidewell, cynthia"
24025053,HEALTHCARE,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
27030979,HEALTHCARE,CRITICAL — EXCLUDE,MALE_PRONOUN: him; MALE_NAME: gabriel
10480456,HEALTHCARE,MILD — REVIEW,"MALE_NAME: alexander, jose, sean, robert; GENDERED_JOB: manpower"
10568183,HEALTHCARE,MILD — REVIEW,"FEMALE_NAME: melissa, stephanie, tiffany; GENDERED_JOB: manpower"
11378657,HEALTHCARE,MILD — REVIEW,FEMALE_NAME: anne
11605833,HEALTHCARE,MILD — REVIEW,GENDERED_JOB: manpower
12613221,HEALTHCARE,MILD — REVIEW,MALE_NAME: john
14062078,HEALTHCARE,MILD — REVIEW,"MALE_NAME: kenneth, eric"
17545780,HEALTHCARE,MILD — REVIEW,MALE_NAME: robert
17963031,HEALTHCARE,MILD — REVIEW,MALE_NAME: scott
18129173,HEALTHCARE,MILD — REVIEW,MALE_NAME: joseph
18784594,HEALTHCARE,MILD — REVIEW,MALE_NAME: wayne
18949843,HEALTHCARE,MILD — REVIEW,FEMALE_NAME: crystal
20835760,HEALTHCARE,MILD — REVIEW,"MALE_NAME: louis, anthony"
23138078,HEALTHCARE,MILD — REVIEW,MALE_NAME: george
23814777,HEALTHCARE,MILD — REVIEW,"MALE_NAME: henry, wayne"
23944036,HEALTHCARE,MILD — REVIEW,MALE_NAME: fred
26585242,HEALTHCARE,MILD — REVIEW,FEMALE_NAME: crystal
26695839,HEALTHCARE,MILD — REVIEW,FEMALE_NAME: crystal
26958533,HEALTHCARE,MILD — REVIEW,"GENDERED_JOB: handyman, repairman"
28670024,HEALTHCARE,MILD — REVIEW,FEMALE_NAME: linda
31926950,HEALTHCARE,MILD — REVIEW,MALE_NAME: john
58879993,HEALTHCARE,MILD — REVIEW,FEMALE_NAME: rose
75297735,HEALTHCARE,MILD — REVIEW,"MALE_NAME: joseph, patrick"
80876647,HEALTHCARE,MILD — REVIEW,GENDERED_JOB: hostess
85421438,HEALTHCARE,MILD — REVIEW,MALE_NAME: john
87520378,HEALTHCARE,MILD — REVIEW,FEMALE_NAME: rose
93988900,HEALTHCARE,MILD — REVIEW,FEMALE_NAME: katrina
96260484,HEALTHCARE,MILD — REVIEW,FEMALE_NAME: linda
98309114,HEALTHCARE,MILD — REVIEW,FEMALE_NAME: mary
11592605,HR,CRITICAL — EXCLUDE,"FEMALE_PRONOUN: her, she; FEMALE_NAME: lisa"
15575117,HR,CRITICAL — EXCLUDE,MALE_PRONOUN: his
24508725,HR,CRITICAL — EXCLUDE,"FEMALE_PRONOUN: her, she; MALE_PRONOUN: his, he; FEMALE_TITLE: ms; MALE_TITLE: mr; FEMALE_NAME: jennifer; MALE_NAME: anthony, nathan"
25150191,HR,CRITICAL — EXCLUDE,FEMALE_PRONOUN: her; MALE_PRONOUN: his; GENDERED_ORG: sorority
28419173,HR,CRITICAL — EXCLUDE,"FEMALE_PRONOUN: she; FEMALE_NAME: madison, claire"
30862904,HR,CRITICAL — EXCLUDE,FEMALE_TITLE: ms; MALE_NAME: john
11480899,HR,MILD — REVIEW,GENDERED_JOB: manpower
11763983,HR,MILD — REVIEW,GENDERED_JOB: manpower
13376919,HR,MILD — REVIEW,GENDERED_JOB: manpower
13520837,HR,MILD — REVIEW,FEMALE_NAME: lisa
14225422,HR,MILD — REVIEW,GENDERED_JOB: manpower
14640322,HR,MILD — REVIEW,GENDERED_JOB: manpower
14886205,HR,MILD — REVIEW,MALE_NAME: robert
15375009,HR,MILD — REVIEW,MALE_NAME: jose
15576950,HR,MILD — REVIEW,MALE_NAME: george
17855844,HR,MILD — REVIEW,FEMALE_NAME: grace; MALE_NAME: christian
18155310,HR,MILD — REVIEW,MALE_NAME: robert
18827609,HR,MILD — REVIEW,GENDERED_ORG: sorority
19179079,HR,MILD — REVIEW,"MALE_NAME: christian, john"
20925036,HR,MILD — REVIEW,GENDERED_JOB: chairman
20993320,HR,MILD — REVIEW,"GENDERED_ORG: sorority, girl scout, girl scouts"
23155093,HR,MILD — REVIEW,MALE_NAME: arthur
23408537,HR,MILD — REVIEW,"MALE_NAME: fred, john"
26048718,HR,MILD — REVIEW,MALE_NAME: thomas
26671167,HR,MILD — REVIEW,MALE_NAME: alexander; GENDERED_JOB: hostess
26780935,HR,MILD — REVIEW,"MALE_NAME: henry, carl"
27490876,HR,MILD — REVIEW,FEMALE_NAME: grace
27523575,HR,MILD — REVIEW,MALE_NAME: eugene
28175164,HR,MILD — REVIEW,MALE_NAME: thomas
29297973,HR,MILD — REVIEW,MALE_NAME: michael
30163002,HR,MILD — REVIEW,GENDERED_JOB: waitress
30646367,HR,MILD — REVIEW,FEMALE_NAME: crystal
33176873,HR,MILD — REVIEW,GENDERED_JOB: manpower
39081840,HR,MILD — REVIEW,FEMALE_NAME: kelly; MALE_NAME: george
39650734,HR,MILD — REVIEW,"GENDERED_JOB: waitress, hostess"
46258701,HR,MILD — REVIEW,MALE_NAME: edward
47470864,HR,MILD — REVIEW,MALE_NAME: george
51769822,HR,MILD — REVIEW,GENDERED_JOB: foreman
72231872,HR,MILD — REVIEW,FEMALE_NAME: kelly
11957080,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms; FEMALE_NAME: crystal
12334140,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms; MALE_TITLE: mr; MALE_NAME: john
16186411,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_PRONOUN: she; MALE_PRONOUN: he
16533554,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
18067556,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,MALE_PRONOUN: him; FEMALE_NAME: crystal
19850482,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,MALE_PRONOUN: his
23666211,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms; MALE_NAME: stephen
23864648,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
25207620,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,"MALE_PRONOUN: his, he, him; MALE_TITLE: mr; MALE_NAME: jose, william"
25857360,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,MALE_PRONOUN: his; MALE_NAME: richard
26746496,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_PRONOUN: she; MALE_PRONOUN: he
28897981,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
29075857,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
30223363,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms; FEMALE_NAME: rose
35325329,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms; MALE_NAME: jose
37242217,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
64017585,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms; MALE_NAME: john
66832845,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
90867631,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,"MALE_PRONOUN: his; FEMALE_TITLE: ms; MALE_TITLE: mr; MALE_NAME: leonard, john, paul, william"
91697974,INFORMATION-TECHNOLOGY,CRITICAL — EXCLUDE,MALE_PRONOUN: him
11584809,INFORMATION-TECHNOLOGY,MILD — REVIEW,FEMALE_NAME: dawn
12045067,INFORMATION-TECHNOLOGY,MILD — REVIEW,"MALE_NAME: randy, robert; GENDERED_JOB: manpower"
13477922,INFORMATION-TECHNOLOGY,MILD — REVIEW,MALE_NAME: george
17111768,INFORMATION-TECHNOLOGY,MILD — REVIEW,GENDERED_JOB: manpower
17681064,INFORMATION-TECHNOLOGY,MILD — REVIEW,GENDERED_JOB: chairman
18187364,INFORMATION-TECHNOLOGY,MILD — REVIEW,FEMALE_NAME: rose
19796840,INFORMATION-TECHNOLOGY,MILD — REVIEW,GENDERED_ORG: fraternity
20408458,INFORMATION-TECHNOLOGY,MILD — REVIEW,MALE_NAME: andrew
20824105,INFORMATION-TECHNOLOGY,MILD — REVIEW,FEMALE_NAME: robin
20879311,INFORMATION-TECHNOLOGY,MILD — REVIEW,GENDERED_JOB: chairman
21780877,INFORMATION-TECHNOLOGY,MILD — REVIEW,"MALE_NAME: kevin, ronald"
22776912,INFORMATION-TECHNOLOGY,MILD — REVIEW,GENDERED_JOB: manpower
24083609,INFORMATION-TECHNOLOGY,MILD — REVIEW,MALE_NAME: richard
25905275,INFORMATION-TECHNOLOGY,MILD — REVIEW,"FEMALE_NAME: wendy, laura; MALE_NAME: william"
26801767,INFORMATION-TECHNOLOGY,MILD — REVIEW,FEMALE_NAME: mary; MALE_NAME: william
27058381,INFORMATION-TECHNOLOGY,MILD — REVIEW,MALE_NAME: peter
27295996,INFORMATION-TECHNOLOGY,MILD — REVIEW,FEMALE_NAME: crystal
27485716,INFORMATION-TECHNOLOGY,MILD — REVIEW,GENDERED_JOB: manpower
27536013,INFORMATION-TECHNOLOGY,MILD — REVIEW,GENDERED_ORG: girl scouts
27770859,INFORMATION-TECHNOLOGY,MILD — REVIEW,MALE_NAME: jack; GENDERED_JOB: mailman
28126340,INFORMATION-TECHNOLOGY,MILD — REVIEW,FEMALE_NAME: rose
29975124,INFORMATION-TECHNOLOGY,MILD — REVIEW,FEMALE_NAME: crystal
36434348,INFORMATION-TECHNOLOGY,MILD — REVIEW,FEMALE_NAME: crystal
37764298,INFORMATION-TECHNOLOGY,MILD — REVIEW,MALE_NAME: edward
40018190,INFORMATION-TECHNOLOGY,MILD — REVIEW,MALE_NAME: william
48037995,INFORMATION-TECHNOLOGY,MILD — REVIEW,FEMALE_NAME: beverly
51363762,INFORMATION-TECHNOLOGY,MILD — REVIEW,MALE_NAME: arthur; GENDERED_JOB: actress
68460556,INFORMATION-TECHNOLOGY,MILD — REVIEW,GENDERED_ORG: fraternity
91635250,INFORMATION-TECHNOLOGY,MILD — REVIEW,MALE_NAME: christopher
92069209,INFORMATION-TECHNOLOGY,MILD — REVIEW,GENDERED_JOB: chairman
12351749,SALES,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
15765660,SALES,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
16223371,SALES,CRITICAL — EXCLUDE,FEMALE_PRONOUN: her; MALE_PRONOUN: his
16280971,SALES,CRITICAL — EXCLUDE,"FEMALE_PRONOUN: her, she; FEMALE_NAME: karen; MALE_NAME: justin; GENDERED_ORG: ladies"
17704246,SALES,CRITICAL — EXCLUDE,FEMALE_PRONOUN: her; MALE_PRONOUN: he; MALE_NAME: jack
20141807,SALES,CRITICAL — EXCLUDE,FEMALE_PRONOUN: she; MALE_PRONOUN: he
20423658,SALES,CRITICAL — EXCLUDE,MALE_TITLE: mr; MALE_NAME: james
24610685,SALES,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
26530696,SALES,CRITICAL — EXCLUDE,FEMALE_PRONOUN: her
27233183,SALES,CRITICAL — EXCLUDE,FEMALE_TITLE: mrs; MALE_TITLE: mr
36904300,SALES,CRITICAL — EXCLUDE,"FEMALE_PRONOUN: her; MALE_PRONOUN: him, his"
54101961,SALES,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
10464113,SALES,MILD — REVIEW,MALE_NAME: jeffrey
10724818,SALES,MILD — REVIEW,MALE_NAME: jacob
10898339,SALES,MILD — REVIEW,MALE_NAME: jack; GENDERED_JOB: handyman
12082377,SALES,MILD — REVIEW,MALE_NAME: james
14381464,SALES,MILD — REVIEW,"MALE_NAME: douglas, david"
15620421,SALES,MILD — REVIEW,MALE_NAME: john
16121015,SALES,MILD — REVIEW,MALE_NAME: mark; GENDERED_JOB: hostess
18062906,SALES,MILD — REVIEW,FEMALE_NAME: robin
19147494,SALES,MILD — REVIEW,MALE_NAME: john; GENDERED_JOB: salesman
21595057,SALES,MILD — REVIEW,GENDERED_JOB: hostess
23782450,SALES,MILD — REVIEW,MALE_NAME: mark
25315791,SALES,MILD — REVIEW,"MALE_NAME: charles, christian"
25810233,SALES,MILD — REVIEW,MALE_NAME: tim
27624540,SALES,MILD — REVIEW,MALE_NAME: patrick
28198029,SALES,MILD — REVIEW,MALE_NAME: gregory
29184740,SALES,MILD — REVIEW,"MALE_NAME: harry, roy"
29399491,SALES,MILD — REVIEW,MALE_NAME: jack
30083943,SALES,MILD — REVIEW,GENDERED_JOB: foreman
32140087,SALES,MILD — REVIEW,"MALE_NAME: mark, henry"
33236701,SALES,MILD — REVIEW,GENDERED_JOB: hostess
33578873,SALES,MILD — REVIEW,MALE_NAME: christian
36621169,SALES,MILD — REVIEW,MALE_NAME: christopher
36970996,SALES,MILD — REVIEW,"MALE_NAME: charles, john"
37792474,SALES,MILD — REVIEW,FEMALE_NAME: grace; GENDERED_JOB: foreman
39581020,SALES,MILD — REVIEW,MALE_NAME: eric
51349448,SALES,MILD — REVIEW,MALE_NAME: jack
58428843,SALES,MILD — REVIEW,MALE_NAME: mark
69155584,SALES,MILD — REVIEW,MALE_NAME: david
79376680,SALES,MILD — REVIEW,MALE_NAME: mark
87118391,SALES,MILD — REVIEW,MALE_NAME: george
90682785,SALES,MILD — REVIEW,MALE_NAME: jack
92200491,SALES,MILD — REVIEW,MALE_NAME: james
98108571,SALES,MILD — REVIEW,MALE_NAME: edward; GENDERED_JOB: waitress
11336022,TEACHER,CRITICAL — EXCLUDE,"FEMALE_PRONOUN: her; MALE_PRONOUN: his, him; MALE_NAME: thomas"
22551979,TEACHER,CRITICAL — EXCLUDE,MALE_PRONOUN: his
24240349,TEACHER,CRITICAL — EXCLUDE,MALE_PRONOUN: his; MALE_NAME: william
27126818,TEACHER,CRITICAL — EXCLUDE,"FEMALE_PRONOUN: her; MALE_PRONOUN: his; FEMALE_NAME: crystal; MALE_NAME: frank, thomas; GENDERED_JOB: chairman"
28642819,TEACHER,CRITICAL — EXCLUDE,MALE_PRONOUN: his
29639533,TEACHER,CRITICAL — EXCLUDE,MALE_TITLE: mr.
34689720,TEACHER,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
36206485,TEACHER,CRITICAL — EXCLUDE,FEMALE_PRONOUN: her; FEMALE_TITLE: ms
86597425,TEACHER,CRITICAL — EXCLUDE,"FEMALE_TITLE: mrs, ms; FEMALE_NAME: karen; MALE_NAME: roy, samuel, robert; GENDERED_JOB: manpower"
11616482,TEACHER,MILD — REVIEW,MALE_NAME: lawrence; GENDERED_ORG: fraternity
11943065,TEACHER,MILD — REVIEW,MALE_NAME: dennis
12587973,TEACHER,MILD — REVIEW,MALE_NAME: fred
13087952,TEACHER,MILD — REVIEW,FEMALE_NAME: farrah
13583538,TEACHER,MILD — REVIEW,GENDERED_JOB: hostess
13855004,TEACHER,MILD — REVIEW,MALE_NAME: scott
16210888,TEACHER,MILD — REVIEW,"FEMALE_NAME: janet; MALE_NAME: william; GENDERED_ORG: girl scout, girl scouts"
16270906,TEACHER,MILD — REVIEW,MALE_NAME: arthur
16820422,TEACHER,MILD — REVIEW,FEMALE_NAME: barbara
17311685,TEACHER,MILD — REVIEW,MALE_NAME: louis
19556300,TEACHER,MILD — REVIEW,MALE_NAME: james
20230207,TEACHER,MILD — REVIEW,"MALE_NAME: thomas, joseph"
20478831,TEACHER,MILD — REVIEW,GENDERED_ORG: sorority
21773106,TEACHER,MILD — REVIEW,"MALE_NAME: charles, scott; GENDERED_ORG: fraternity"
22408666,TEACHER,MILD — REVIEW,FEMALE_NAME: maria
22807104,TEACHER,MILD — REVIEW,MALE_NAME: james
22968380,TEACHER,MILD — REVIEW,FEMALE_NAME: martha; GENDERED_ORG: sorority
24791126,TEACHER,MILD — REVIEW,MALE_NAME: daniel
27531694,TEACHER,MILD — REVIEW,MALE_NAME: joseph
31552617,TEACHER,MILD — REVIEW,MALE_NAME: robert
45987048,TEACHER,MILD — REVIEW,FEMALE_NAME: marilyn
53129155,TEACHER,MILD — REVIEW,MALE_NAME: paul
63391085,TEACHER,MILD — REVIEW,MALE_NAME: mark
74816727,TEACHER,MILD — REVIEW,FEMALE_NAME: brittany
79663360,TEACHER,MILD — REVIEW,MALE_NAME: christian
90363254,TEACHER,MILD — REVIEW,FEMALE_NAME: rose; MALE_NAME: christian
99244405,TEACHER,MILD — REVIEW,MALE_NAME: kpandipou
